Names,Appearances,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
Dele Alli,160,50,0.31,9,31,10,2,0,320,128,40%,7,37,33,"5,543",34.64,44,76,12%,67,167,24,0,178,31,238,65%,82,127,99,57,755,820,"1,079",183,121,184,1
Marcos Alonso,141,20,,4,2,14,,,,,,11,,12,"6,464",45.84,17,428,19%,8,214,26,1,126,16,289,68%,65,215,370,185,834,806,642,90,290,214,1
Rolando Aarons,18,2,0.11,1,0,1,0,0,11,3,27%,1,0,1,197,10.94,1,19,21%,0,8,2,0,11,1,20,70%,2,8,11,6,43,54,67,14,7,12,1
Allan,12,0,12,0,0,0,0,0,4,1,25%,0,0,0,538,44.83,0,2,2%,0,29,4,0,21,0,41,56%,1,13,10,2,103,80,72,20,1,4,0
Miguel Almirón,57,5,0.09,0,2,3,0,0,83,29,35%,2,11,3,"1,296",22.74,4,73,22%,3,37,6,0,41,29,99,60%,28,46,25,8,285,255,245,62,11,39,1
Steven Alzate,26,0,26,0,0,0,0,0,16,4,25%,0,1,0,855,32.88,1,9,,,,2,0,35,3,44,,7,20,13,11,,,,,,,
Alex Telles,3,0,,0,0,0,,,,,,0,,1,181,60.33,1,22,18%,1,7,0,0,3,0,5,60%,0,7,5,5,19,15,16,0,9,5,0
Ajibola Alese,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Ali Koiki,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,104,6,,0,6,0,,,,,,4,,27,"5,887",56.61,35,761,22%,12,429,12,0,52,10,171,64%,32,124,192,67,599,286,334,64,32,79,1
Alisson,77,0,,,,,,,,,,,,1,"2,154",27.97,,,,,332,2,1,1,,,,,,,,,,,,,,4
Hakim Ziyech,7,1,0.14,0,0,1,0,0,8,3,38%,0,0,3,235,33.57,4,25,24%,2,11,1,0,6,0,4,50%,2,6,0,0,28,17,25,3,2,4,0
Tammy Abraham,79,23,0.29,3,18,1,0,0,154,63,41%,3,28,5,851,10.77,7,29,,,,2,0,45,37,22,,29,11,47,38,,,,,,,
Che Adams,43,8,0.19,0,7,1,0,0,60,23,38%,2,12,6,519,12.07,12,15,,,,1,0,30,19,15,,18,3,16,7,,,,,,,
Marc Albrighton,264,17,0.06,2,13,2,0,1,224,72,32%,6,13,37,"5,804",21.98,61,"1,620",20%,33,373,32,1,168,18,434,74%,76,266,179,49,"1,267",992,"1,151",295,71,191,0
Kenneth Zohore,19,1,0.05,0,0,1,0,0,17,8,47%,0,2,1,136,7.16,1,7,,,,1,0,13,4,3,,4,2,5,5,,,,,,,
Ezgjan Alioski,11,1,0.09,0,0,1,0,0,8,4,50%,0,1,0,388,35.27,3,23,22%,0,5,1,0,9,3,22,55%,1,8,7,5,43,47,38,3,10,10,0
Richairo Zivkovic,5,0,5,0,0,0,0,0,1,0,1%,0,0,0,18,3.6,0,1,,,,0,0,1,0,2,,1,0,0,0,,,,,,,
Toby Alderweireld,184,8,,5,2,1,,,,,,3,,4,"10,369",56.35,5,57,28%,24,"1,108",20,0,69,3,241,73%,27,185,"1,023",494,852,587,461,26,298,281,1
Kurt Zouma,153,8,,7,1,0,,,,,,3,,4,"6,584",43.03,2,20,10%,0,437,11,1,96,6,166,69%,14,234,700,381,613,730,358,52,454,183,2
Oleksandr Zinchenko,42,0,42,0,0,0,0,0,28,6,21%,0,0,3,"3,073",73.17,5,102,20%,3,86,2,1,35,4,88,63%,11,43,42,27,189,173,162,11,66,59,2
Andi Zeqiri,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Karlo Ziger,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Davide Zappacosta,26,1,,0,0,1,,,,,,1,,1,520,20,2,85,20%,0,8,0,0,9,5,26,42%,9,9,24,14,71,70,76,16,17,8,0
Wilfried Zaha,226,43,0.19,1,34,8,2,0,359,126,35%,7,33,26,"4,772",21.12,39,548,,,,35,1,300,81,300,,116,125,33,8,,,,,,,
DeAndre Yedlin,104,2,,1,1,0,,,,,,0,,5,"2,502",24.06,6,219,23%,3,90,16,1,102,15,169,64%,5,107,270,111,385,398,390,60,109,134,0
Jack Young,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
André-Frank Zambo Anguissa,35,0,35,0,0,0,0,0,33,7,21%,0,0,2,"1,649",47.11,2,8,38%,1,53,2,1,41,2,85,55%,14,61,33,17,210,230,231,83,36,44,0
Andriy Yarmolenko,38,7,0.18,0,0,7,0,0,39,17,44%,1,3,1,653,17.18,7,38,,,,5,0,28,10,20,,8,8,7,3,,,,,,,
Maya Yoshida,154,6,,2,2,1,,,,,,1,,2,"6,262",40.66,3,39,21%,8,423,10,1,91,3,196,72%,17,296,836,373,797,672,399,15,381,222,7
Romaric Yapi,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Sam Woods,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Xande Silva,1,0,1,0,0,0,0,0,2,0,2%,0,0,0,4,4,0,0,,,,0,0,0,0,0,,2,0,0,0,,,,,,,
Chris Wood,115,37,0.32,14,15,8,1,0,189,90,48%,9,42,4,"1,721",14.97,8,25,,,,4,0,97,124,30,,26,7,66,47,,,,,,,
Harry Winks,98,2,0.02,1,1,0,0,0,32,6,19%,1,1,2,"4,300",43.88,3,54,17%,11,203,15,0,60,2,91,66%,8,73,66,24,403,234,243,51,33,34,0
Ben Winterbottom,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Freddie Woodman,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Jack Wilshere,182,8,0.04,1,2,5,0,0,140,50,36%,10,12,18,"7,494",41.18,32,239,18%,156,364,36,2,169,10,217,74%,43,153,53,12,915,926,793,339,59,60,1
Joseph Willock,36,1,0.03,0,1,0,0,0,19,5,26%,0,2,1,456,12.67,1,14,14%,3,16,2,0,16,0,34,59%,5,8,10,4,74,92,85,24,15,19,0
Harry Wilson,31,7,0.23,0,0,7,0,2,56,20,36%,1,2,0,575,18.55,4,35,11%,6,42,2,0,12,1,23,57%,25,11,11,5,85,87,92,17,6,22,0
Ben Woodburn,6,0,6,0,0,0,0,0,2,0,2%,0,0,0,40,6.67,0,5,20%,0,0,0,0,2,0,4,75%,2,0,0,0,6,7,12,1,1,3,0
Granit Xhaka,140,8,0.06,0,0,8,0,2,146,41,28%,2,1,13,"10,161",72.58,12,275,25%,35,701,37,3,208,3,266,65%,41,142,220,134,929,677,632,69,188,177,7
Willian,245,37,0.15,1,33,3,5,4,399,145,36%,16,20,36,"8,585",35.04,54,"1,068",,,,21,1,134,35,254,,111,102,56,25,,,,,,,
Brandon Williams,18,1,,0,1,0,,,,,,0,,0,558,31,0,12,25%,1,16,6,0,13,1,21,71%,1,16,14,10,69,63,53,16,10,9,0
Georginio Wijnaldum,192,26,0.14,8,17,1,1,0,229,88,38%,2,16,16,"8,161",42.51,16,68,24%,13,261,7,0,88,15,207,67%,57,128,129,71,"1,038",736,757,201,154,211,2
Connor Wickham,120,19,0.16,4,10,5,1,0,189,59,31%,6,12,7,"2,003",16.69,5,112,,,,11,0,147,26,93,,56,53,109,63,,,,,,,
Alfie Whiteman,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Ben White,13,0,,0,0,0,,,,,,0,,0,668,51.38,0,3,33%,1,29,2,0,14,0,27,56%,0,24,21,10,70,59,53,7,22,17,0
Ashley Westwood,232,10,0.04,0,10,0,0,1,142,37,26%,1,5,26,"10,462",45.09,41,705,31%,22,826,39,0,202,2,345,68%,49,327,248,62,"1,378",614,644,37,96,132,1
Timo Werner,13,4,0.31,1,3,0,0,0,32,14,44%,4,6,3,386,29.69,3,9,,,,0,0,11,11,10,,9,5,2,1,,,,,,,
Adam Webster,43,3,,2,1,0,,,,,,2,,1,"2,677",62.26,2,6,33%,1,156,5,0,22,1,45,51%,5,66,126,64,236,220,136,16,137,84,1
Ollie Watkins,10,6,0.6,2,2,2,1,0,24,10,42%,2,6,1,211,21.1,1,8,,,,0,0,7,10,10,,4,5,2,1,,,,,,,
Kelland Watts,1,0,,0,0,0,,,,,,0,,0,3,3,0,0,0%,0,0,0,0,0,0,1,1%,0,0,0,0,1,1,0,0,0,0,0
Wesley,21,5,0.24,0,5,0,0,0,35,18,51%,1,5,1,367,17.48,1,7,,,,3,0,43,14,15,,8,4,23,18,,,,,,,
Danny Welbeck,231,45,0.19,12,22,11,0,0,395,155,39%,8,55,20,"3,994",17.29,25,38,,,,13,0,128,38,246,,103,159,117,64,,,,,,,
James Ward-Prowse,244,26,0.11,0,22,4,4,9,258,107,41%,5,15,25,"7,711",31.6,37,"1,178",26%,17,315,30,1,213,5,285,64%,72,203,264,140,996,661,923,53,193,322,0
Aaron Wan-Bissaka,87,1,,0,1,0,,,,,,0,,7,"3,505",40.29,8,192,16%,3,79,13,1,54,3,315,66%,7,179,239,110,478,581,343,135,89,88,0
Kyle Walker,303,8,,0,7,1,,,,,,3,,30,"16,334",53.91,25,763,17%,29,933,46,1,253,23,610,76%,58,508,831,361,"1,644","1,547","1,138",251,458,298,6
Joel Ward,205,4,,2,1,1,,,,,,2,,6,"6,557",31.99,10,414,18%,3,360,29,0,208,4,490,80%,25,372,809,456,"1,030","1,233",830,103,410,253,3
Kyle Walker-Peters,35,0,,0,0,0,,,,,,1,,6,"1,497",42.77,5,45,18%,0,38,5,0,22,4,60,73%,5,44,49,22,185,191,153,57,18,52,0
Christian Walton,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Theo Walcott,355,77,0.22,3,62,12,0,0,632,273,43%,19,80,53,"5,653",15.92,61,962,,,,10,0,107,166,225,,143,154,82,30,,,,,,,
Matej Vydra,63,6,0.1,0,5,1,0,0,40,21,53%,1,10,5,383,6.08,4,12,,,,1,0,9,12,10,,6,8,13,7,,,,,,,
Michel Vorm,102,0,,,,,,,,,,,,0,"2,303",22.58,,,,,487,5,1,2,,,,,,,,,,,,,,7
Jake Vokins,1,0,,0,0,0,,,,,,0,,0,58,58,0,1,1%,0,3,0,0,0,0,2,100%,0,0,1,0,1,3,2,0,0,0,0
Jan Vertonghen,232,6,,3,1,2,,,,,,4,,4,"12,663",54.58,8,165,17%,12,821,36,1,130,7,420,75%,46,442,"1,338",670,"1,332","1,295",618,140,588,284,7
Jannik Vestergaard,54,4,,4,0,0,,,,,,1,,0,"2,415",44.72,3,5,20%,3,139,5,0,36,1,85,62%,7,75,324,185,262,345,186,16,217,103,1
Vitinha,5,0,5,0,0,0,0,0,0,0,0%,0,0,1,51,10.2,0,0,0%,0,1,0,0,1,0,2,2%,0,0,1,1,4,4,2,2,0,0,0
Michael Verrips,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Joël Veltman,9,0,,0,0,0,,,,,,0,,0,420,46.67,0,14,29%,0,23,1,0,6,0,21,62%,0,6,22,13,45,47,31,3,13,15,0
Sepp van den Berg,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Indiana Vassilev,4,0,4,0,0,0,0,0,1,0,1%,0,0,0,11,2.75,0,0,,,,0,0,0,2,0,,0,0,0,0,,,,,,,
Virgil van Dijk,162,14,,11,0,3,,,,,,12,,3,"10,775",66.51,13,3,33%,11,758,9,1,92,5,187,70%,28,282,928,530,844,"1,096",402,41,784,271,3
Jan Paul van Hecke,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jamie Vardy,223,113,0.51,13,72,28,23,0,484,239,49%,17,85,33,"3,075",13.79,52,262,,,,21,3,186,205,129,,85,59,100,67,,,,,,,
Marco van Ginkel,19,0,19,0,0,0,0,0,12,2,17%,1,1,0,380,20,0,10,10%,0,18,0,0,14,0,28,68%,4,23,18,7,34,55,56,5,13,14,0
Harvey Vale,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Cengiz Ünder,6,0,6,0,0,0,0,0,5,1,20%,0,0,2,80,13.33,3,11,18%,0,1,0,0,0,1,4,25%,4,2,0,0,9,17,16,11,0,2,0
Donny van de Beek,8,1,0.12,0,1,0,0,0,1,1,100%,1,0,0,132,16.5,0,0,0%,0,2,0,0,2,0,6,50%,0,2,1,0,16,11,16,3,0,5,0
Yan Valery,34,2,,0,1,1,,,,,,0,,1,621,18.26,2,66,14%,1,20,4,1,34,5,62,69%,2,35,86,29,121,176,202,38,62,71,3
Patrick van Aanholt,199,20,,0,4,16,,,,,,5,,15,"7,210",36.23,26,409,26%,14,304,20,0,99,30,359,69%,54,335,450,173,"1,179",695,586,186,72,94,2
Nathan Trott,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Leandro Trossard,41,6,0.15,0,3,3,0,0,60,19,32%,6,10,4,973,23.73,7,102,,,,1,0,19,5,26,,10,13,6,2,,,,,,,
Rayhaan Tulloch,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Trézéguet,43,6,0.14,0,5,1,0,0,72,23,32%,2,7,2,530,12.33,5,89,16%,1,17,2,1,57,7,60,45%,29,38,25,17,112,184,247,40,48,72,0
Konstantinos Tsimikas,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
James Trafford,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Axel Tuanzebe,11,0,,0,0,0,,,,,,0,,0,284,25.82,0,1,1%,0,6,0,0,10,0,12,58%,1,12,15,10,30,26,40,1,6,17,1
Bertrand Traoré,18,2,0.11,0,0,2,0,0,22,9,41%,0,0,2,229,12.72,2,22,,,,0,0,7,7,10,,9,4,5,1,,,,,,,
Cenk Tosun,52,10,0.19,5,3,2,0,0,71,30,42%,0,6,3,628,12.08,4,15,,,,4,0,51,19,23,,12,6,16,11,,,,,,,
Ferran Torres,8,1,0.12,0,1,0,0,0,14,6,43%,0,2,1,124,15.5,0,9,,,,1,0,5,2,2,,5,0,0,0,,,,,,,
Fikayo Tomori,17,1,,0,1,0,,,,,,0,,0,"1,193",70.18,0,4,25%,3,43,3,0,8,1,32,53%,1,24,53,26,102,81,49,9,34,29,0
Andros Townsend,221,22,0.1,0,5,17,1,1,342,107,31%,6,12,23,"4,959",22.44,43,987,24%,13,115,14,0,90,22,384,69%,114,186,89,22,967,"1,089","1,094",431,20,81,2
James Tomkins,263,12,,7,3,2,,,,,,6,,7,"8,210",31.22,8,51,33%,4,752,46,2,167,7,447,70%,26,443,"2,029",929,989,"1,442",817,25,823,473,7
Kieran Tierney,27,1,,0,0,1,,,,,,0,,1,"1,052",38.96,3,96,17%,0,38,3,0,13,0,28,75%,4,19,66,28,115,85,74,17,20,29,0
Lucas Torreira,63,3,0.05,0,3,0,0,0,46,12,26%,1,1,3,"2,493",39.57,3,40,28%,4,94,14,1,62,0,96,57%,10,75,53,22,327,276,212,30,32,47,0
Bobby Thomas,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Youri Tielemans,63,9,0.14,1,5,3,2,0,104,34,33%,2,1,10,"3,290",52.22,14,133,16%,27,186,7,0,54,1,92,49%,31,46,29,12,353,281,263,56,49,49,0
Thiago Silva,9,1,,1,0,0,,,,,,0,,0,816,90.67,0,2,2%,0,54,1,0,4,0,8,38%,0,9,32,15,44,28,19,1,11,9,1
Max Thompson,1,0,1,0,0,0,0,0,0,0,0%,0,0,0,0,1,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Thiago,2,0,2,0,0,0,0,0,3,0,3%,0,0,0,161,80.5,0,1,1%,0,13,0,0,4,0,2,50%,1,3,1,0,10,9,14,4,1,3,0
Nikola Tavares,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Neil Taylor,145,0,,0,0,0,,,,,,0,,5,"5,491",37.87,6,255,22%,5,214,21,0,121,3,266,76%,14,241,350,133,614,493,454,46,94,142,0
Nathan Tella,4,0,4,0,0,0,0,0,2,1,50%,0,0,0,16,4,0,0,0%,0,0,0,0,1,0,1,100%,0,0,1,0,2,8,3,1,1,1,0
James Tarkowski,132,5,,1,1,2,,,,,,1,,3,"4,144",31.39,7,15,20%,0,385,25,0,128,13,218,58%,13,174,730,435,496,925,471,34,584,252,2
Martell Taylor-Crossdale,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Matt Targett,81,2,,1,0,1,,,,,,1,,6,"2,578",31.83,13,277,26%,8,162,11,0,48,2,133,64%,9,138,180,75,341,312,263,23,105,90,1
Kenny Tete,2,0,,0,0,0,,,,,,0,,1,47,23.5,1,12,50%,0,0,1,0,3,0,4,50%,0,4,4,3,5,8,7,0,3,0,0
Japhet Tanganga,6,0,,0,0,0,,,,,,0,,0,201,33.5,0,2,2%,0,6,1,0,8,0,17,53%,1,11,29,21,27,45,32,6,18,11,1
John Stones,166,1,,1,0,0,,,,,,1,,0,"9,242",55.67,5,18,28%,2,600,7,0,46,3,182,74%,8,195,611,347,737,674,320,98,336,174,7
Pascal Struijk,4,0,,0,0,0,,,,,,0,,0,156,39,0,0,0%,0,15,1,0,2,0,7,43%,0,4,15,6,14,10,11,1,2,5,0
Jakub Stolarczyk,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Layton Stewart,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Jordan Stevens,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Raheem Sterling,270,89,0.33,6,57,26,1,0,567,232,41%,20,77,46,"8,647",32.03,63,521,,,,29,1,309,100,263,,162,127,53,21,,,,,,,
Steven Sessegnon,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jay Stansfield,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Jed Steer,2,0,,,,,,,,,,,,0,32,16,,,,,6,0,0,0,,,,,,,,,,,,,,0
Jack Spong,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Maarten Stekelenburg,55,0,,,,,,,,,,,,0,"1,241",22.56,,,,,356,2,0,0,,,,,,,,,,,,,,6
Zack Steffen,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Jason Steele,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Dale Stephens,102,1,0.01,0,0,1,0,0,52,5,10%,1,0,5,"4,879",47.83,4,6,17%,7,387,20,1,139,0,269,62%,18,173,153,90,738,418,455,36,78,76,0
Tomas Soucek,26,6,0.23,3,2,1,0,0,43,15,35%,0,4,0,829,31.88,0,4,4%,0,43,1,0,36,0,52,40%,10,41,64,41,119,217,175,2,142,96,0
Son Heung-Min,173,64,0.37,4,35,25,0,0,371,160,43%,13,30,33,"4,020",23.24,36,280,,,,4,2,67,100,116,,100,60,44,19,,,,,,,
Elias Sorensen,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Çaglar Söyüncü,44,1,,1,0,0,,,,,,0,,1,"2,812",63.91,1,6,17%,0,129,6,1,43,1,71,65%,2,57,185,92,228,244,154,19,135,80,1
Jamie Soule,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Sokratis,44,3,,1,2,0,,,,,,1,,2,"2,416",54.91,4,1,1%,2,172,18,0,56,1,67,61%,4,43,175,82,173,227,160,11,115,73,1
