Names,Appearances,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
Andreas Söndergaard,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Emile Smith Rowe,2,0,2,0,0,0,0,0,0,0,0%,0,0,0,35,17.5,0,1,1%,0,0,0,0,0,0,1,100%,0,1,2,2,5,4,4,2,0,0,0
William Smallbone,11,0,11,0,0,0,0,0,6,0,6%,1,0,2,248,22.55,0,9,,,,0,0,4,0,13,,2,3,1,1,,,,,,,
Chris Smalling,219,12,,8,2,2,,,,,,2,,2,"8,092",36.95,3,63,35%,7,517,18,1,192,14,283,68%,32,360,"1,287",670,897,"1,082",629,59,645,324,3
Robert Snodgrass,163,26,0.16,2,1,23,2,6,250,88,35%,7,16,23,"4,719",28.95,35,"1,090",27%,36,135,30,0,199,27,265,72%,78,106,105,36,623,865,"1,119",154,158,271,0
Regan Slater,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Islam Slimani,40,8,0.2,5,3,0,1,0,43,17,40%,2,9,5,589,14.72,2,10,,,,2,0,30,15,14,,5,4,6,4,,,,,,,
Callum Slattery,3,0,3,0,0,0,0,0,1,0,1%,0,0,0,31,10.33,0,1,1%,0,1,0,0,4,0,4,75%,1,2,1,0,7,11,19,1,3,9,0
Ellis Simms,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Gylfi Sigurdsson,294,62,0.21,3,46,13,10,7,614,224,36%,21,32,46,"7,946",27.03,69,"1,394",26%,95,206,20,0,200,16,358,67%,206,295,166,44,"1,035",883,"1,257",200,90,247,1
David Silva,309,60,0.19,1,9,49,0,3,552,186,34%,16,55,93,"18,801",60.84,119,955,26%,310,455,32,0,252,37,380,71%,188,220,109,20,"1,436","1,197","1,363",363,116,173,0
Josh Sims,20,0,20,0,0,0,0,0,21,9,43%,1,2,2,187,9.35,2,12,17%,0,1,0,0,4,3,8,75%,7,3,2,0,38,39,56,15,7,20,0
Oliver Skipp,15,0,15,0,0,0,0,0,2,0,2%,0,0,0,181,12.07,0,0,0%,0,6,0,0,5,0,9,56%,1,1,6,5,18,24,19,2,10,6,0
Moussa Sissoko,245,14,0.06,1,12,1,0,0,216,69,32%,3,18,24,"8,840",36.08,34,459,22%,60,274,38,2,289,24,298,78%,54,179,187,110,"1,333","1,106","1,432",392,246,346,1
Dynel Simeu,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Saul Shotton,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Djibril Sidibé,25,0,,0,0,0,,,,,,0,,4,948,37.92,4,68,26%,5,54,3,0,24,2,83,53%,5,40,33,15,148,144,106,14,30,32,0
Luke Shaw,164,1,,0,0,1,,,,,,2,,8,"7,017",42.79,15,449,22%,9,174,31,1,147,8,288,73%,31,172,478,233,726,859,654,171,271,202,1
Jonjo Shelvey,220,20,0.09,1,16,3,2,1,380,117,31%,12,17,23,"9,133",41.51,31,627,24%,67,"1,011",34,4,184,12,272,70%,107,203,181,63,"1,142",597,626,142,114,106,3
Billy Sharp,32,4,0.12,1,2,1,1,0,19,9,47%,1,6,2,250,7.81,5,14,,,,1,1,23,16,7,,3,1,3,3,,,,,,,
Conor Shaughnessy,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,117,22,0.19,1,3,18,0,3,187,64,34%,4,10,19,"3,067",26.21,33,556,26%,56,175,12,0,80,30,72,56%,50,43,15,8,453,335,472,122,16,49,0
Meritan Shabani,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Sean Longstaff,41,2,0.05,0,1,1,0,0,39,12,31%,2,1,1,"1,153",28.12,3,49,31%,1,86,6,1,32,0,58,59%,11,35,34,10,146,141,160,14,28,42,2
Jamie Shackleton,5,0,5,0,0,0,0,0,0,0,0%,0,0,0,72,14.4,0,1,100%,0,1,0,0,1,1,3,67%,0,5,2,1,7,6,6,1,0,2,0
Jean Michael Seri,32,1,0.03,0,1,0,0,0,19,6,32%,1,1,2,"1,592",49.75,7,108,36%,2,98,6,0,32,1,41,68%,7,32,14,6,158,93,112,16,14,20,2
Jeffrey Schlupp,157,12,,1,3,8,,,,,,0,,8,"3,311",21.09,11,209,18%,4,166,16,0,116,3,286,70%,46,184,219,118,606,813,814,184,223,281,1
Romaine Sawyers,11,0,11,0,0,0,0,0,2,0,2%,0,0,0,411,37.36,0,0,0%,0,22,2,0,10,0,16,44%,0,14,4,4,59,38,37,4,9,2,0
Matija Sarkic,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Fabian Schär,53,6,,1,3,2,,,,,,0,,1,"1,978",37.32,1,31,10%,5,248,17,0,64,3,105,59%,7,122,218,110,251,279,260,31,100,113,2
Kasper Schmeichel,222,0,,,,,,,,,,,,0,"6,489",29.23,,,,,"1,958",11,0,0,,,,,,,,,,,,,,6
Malang Sarr,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Dane Scarlett,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Dion Sanderson,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Austin Samuels,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Leroy Sané,90,25,0.28,0,1,23,0,0,148,58,39%,7,17,28,"2,636",29.29,31,243,,,,9,0,47,37,86,,40,38,13,5,,,,,,,
Max Sanders,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Robert Sánchez,2,0,,,,,,,,,,,,0,59,29.5,,,,,13,0,0,0,,,,,,,,,,,,,,0
Ezequiel Schelotto,28,0,,0,0,0,,,,,,0,,0,576,20.57,1,48,13%,1,35,5,0,15,1,24,67%,3,26,64,37,99,92,86,20,33,21,0
Mamadou Sakho,128,3,,1,1,1,,,,,,3,,2,"5,989",46.79,2,6,33%,2,282,6,1,41,1,146,72%,4,200,701,442,858,540,356,49,301,229,3
Mohammed Salisu,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
William Saliba,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Bukayo Saka,38,2,0.05,1,0,1,0,0,34,12,35%,1,5,5,"1,019",26.82,6,111,,,,6,0,26,14,44,,10,20,19,11,,,,,,,
Mbwana Samatta,14,1,0.07,1,0,0,0,0,17,3,18%,0,3,0,172,12.29,1,3,,,,1,0,9,8,6,,5,1,6,2,,,,,,,
Henri Saivet,5,1,0.2,0,1,0,0,1,1,1,100%,0,0,0,106,21.2,0,2,2%,0,4,0,0,1,0,18,67%,0,9,10,3,24,23,20,1,3,7,1
Allan Saint-Maximin,34,4,0.12,1,3,0,0,0,53,25,47%,2,5,5,584,17.18,10,55,,,,0,0,21,3,22,,15,10,5,1,,,,,,,
Romain Saïss,60,5,0.08,3,1,1,0,0,41,16,39%,1,6,1,"2,740",45.67,4,24,17%,1,223,17,1,76,2,104,66%,7,97,210,113,303,356,244,16,203,114,0
Ryan Sessegnon,41,2,,0,1,1,,,,,,1,,6,846,20.63,6,79,18%,5,18,0,0,24,17,29,62%,6,22,48,19,156,113,177,36,24,45,0
Rui Patrício,88,0,,,,,,,,,,,,0,"1,730",19.66,,,,,616,0,0,0,,,,,,,,,,,,,,3
Antonio Rüdiger,81,5,,5,0,0,,,,,,1,,1,"5,846",72.17,5,18,6%,14,367,14,0,74,3,95,59%,15,72,255,139,524,345,292,15,201,156,1
Mat Ryan,121,0,,,,,,,,,,,,0,"3,549",29.33,,,,,"1,012",3,0,2,,,,,,,,,,,,,,2
Rúnar Alex Rúnarsson,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Danny Rose,194,9,,1,1,7,,,,,,3,,17,"7,359",37.93,21,615,18%,7,333,49,2,245,9,445,78%,39,310,431,230,948,"1,214",855,201,200,158,5
Rúben Vinagre,35,0,,0,0,0,,,,,,0,,0,608,17.37,3,86,21%,1,16,2,0,21,1,44,61%,2,27,32,15,111,112,123,35,17,30,0
John Ruddy,119,0,,,,,,,,,,,,0,"2,580",21.68,,,,,736,3,1,1,,,,,,,,,,,,,,12
Rúben Neves,86,6,0.07,0,6,0,2,2,153,29,19%,2,0,5,"4,597",53.45,8,64,20%,19,511,20,0,78,0,158,49%,61,144,94,40,655,296,329,34,69,69,0
Sergio Romero,7,0,,,,,,,,,,,,0,181,25.86,,,,,54,0,0,0,,,,,,,,,,,,,,0
Oriol Romeu,194,5,0.03,0,4,1,0,0,123,27,22%,2,3,1,"8,608",44.37,14,22,36%,10,458,52,0,268,5,514,68%,42,344,262,106,"1,223","1,079",982,100,322,298,0
Rúben Dias,10,0,,0,0,0,,,,,,0,,0,818,81.8,0,0,0%,0,27,2,0,8,1,4,50%,1,5,26,14,49,33,17,1,20,8,0
Jay Rodriguez,186,41,0.22,8,25,7,2,0,383,141,37%,10,35,12,"2,915",15.67,15,135,,,,12,0,161,102,159,,91,84,114,78,,,,,,,
Jack Rodwell,167,10,0.06,4,3,3,0,0,210,58,28%,2,13,4,"3,881",23.24,2,67,13%,11,271,26,1,135,7,212,78%,63,113,227,79,482,470,423,49,148,114,2
Rodrigo,28,3,0.11,1,1,1,0,0,44,14,32%,5,1,1,403,14.39,6,35,,,,0,0,16,2,20,,10,13,7,4,,,,,,,
Marek Rodák,1,0,,,,,,,,,,,,0,25,25,,,,,8,0,0,0,,,,,,,,,,,,,,0
Marcos Rojo,76,1,,0,0,1,,,,,,0,,1,"3,503",46.09,1,83,22%,2,238,23,0,81,2,140,71%,14,130,383,213,358,351,264,26,154,113,1
Hal Robson-Kanu,80,12,0.15,3,2,7,1,0,76,30,39%,2,5,3,694,8.68,2,101,,,,5,1,81,13,22,,17,29,36,21,,,,,,,
Roderick Miranda,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Andrew Robertson,164,5,,2,0,3,,,,,,3,,36,"9,139",55.73,44,745,17%,8,348,20,0,89,13,280,64%,20,195,302,120,942,554,508,120,100,105,2
Antonee Robinson,10,0,,0,0,0,,,,,,0,,0,433,43.3,2,39,28%,0,8,2,0,9,0,21,57%,0,17,33,21,61,62,37,19,18,7,0
Haydon Roberts,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Joe Rodon,4,0,,0,0,0,,,,,,0,,0,49,12.25,0,0,0%,0,3,0,0,0,0,0,0%,0,3,7,5,4,3,6,0,2,6,0
Matt Ritchie,131,11,0.08,1,1,9,1,0,208,52,25%,5,7,20,"4,181",31.92,28,769,25%,16,223,24,0,161,8,193,68%,77,152,177,83,645,517,659,58,117,216,1
Roberto Firmino,188,60,0.32,15,30,14,2,0,449,193,43%,12,56,37,"6,592",35.06,52,164,,,,8,0,215,62,269,,129,76,65,49,,,,,,,
Jairo Riedewald,39,1,0.03,0,0,1,0,0,6,1,17%,0,0,0,670,17.18,0,9,33%,1,37,0,0,10,0,38,58%,3,36,37,16,90,66,48,15,8,9,0
Richarlison,119,33,0.28,7,14,11,1,0,297,96,32%,8,30,11,"2,635",22.14,24,166,,,,19,2,121,61,207,,82,55,113,81,,,,,,,
Lewis Richardson,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Taylor Richards,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Rhys Williams,1,0,,0,0,0,,,,,,0,,0,78,78,0,0,0%,1,2,0,0,0,0,0,0%,0,3,3,3,4,8,0,0,7,0,0
Winston Reid,166,6,,4,1,1,,,,,,2,,3,"4,877",29.38,3,15,20%,3,470,38,1,170,4,242,79%,14,348,"1,301",671,660,801,508,16,377,232,0
Ricardo Pereira,63,5,,0,3,2,,,,,,1,,8,"3,104",49.27,15,164,15%,7,102,8,0,86,2,237,57%,13,109,180,93,387,557,459,128,108,123,0
Declan Rice,112,3,,1,2,0,,,,,,5,,4,"4,473",39.94,3,46,26%,4,309,12,0,73,3,273,57%,16,184,189,88,767,537,405,90,154,128,1
Sergio Reguilón,9,0,,0,0,0,,,,,,0,,2,382,42.44,2,17,18%,0,18,2,0,9,0,16,56%,4,7,21,11,49,32,43,4,4,11,0
Harrison Reed,27,0,27,0,0,0,0,0,7,3,43%,0,0,1,744,27.56,1,13,31%,0,20,2,0,14,0,42,81%,1,35,19,6,80,71,87,4,8,24,0
Tim Ream,44,0,,0,0,0,,,,,,0,,1,"1,767",40.16,1,3,33%,0,86,2,0,18,0,46,57%,0,69,212,69,201,140,129,8,75,76,1
Marcus Rashford,153,47,0.31,4,37,6,6,1,325,142,44%,10,43,25,"3,255",21.27,28,263,,,,13,1,97,58,77,,81,38,71,35,,,,,,,
Nathan Redmond,215,26,0.12,1,21,3,0,0,390,130,33%,15,17,18,"5,916",27.52,37,531,23%,27,248,12,1,160,48,259,64%,109,113,74,22,918,946,"1,136",425,69,189,1
Darren Randolph,31,0,,,,,,,,,,,,0,839,27.06,,,,,309,1,0,0,,,,,,,,,,,,,,5
Kayne Ramsay,1,0,,0,0,0,,,,,,0,,0,14,14,0,0,0%,0,0,0,0,0,0,0,0%,0,0,7,3,2,2,0,0,2,0,0
Aaron Ramsdale,49,0,,,,,,,,,,,,1,"1,270",25.92,,,,,313,0,0,0,,,,,,,,,,,,,,2
Jacob Ramsey,2,0,2,0,0,0,0,0,2,0,2%,0,0,0,27,13.5,0,2,2%,0,2,0,0,3,0,1,100%,0,0,1,1,10,7,10,2,1,1,0
Raphinha,8,1,0.12,0,0,1,0,0,21,4,19%,1,0,0,189,23.62,1,28,,,,2,0,4,3,9,,5,5,5,3,,,,,,,
Christian Pulisic,31,10,0.32,2,4,4,0,0,72,28,39%,1,8,4,794,25.61,6,41,12%,4,22,0,0,16,3,29,48%,20,10,11,5,96,157,217,67,24,54,0
Arnau Puigmal,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Dennis Praet,38,2,0.05,0,2,0,0,0,22,5,23%,1,0,3,751,19.76,4,36,14%,3,24,2,0,28,1,44,50%,11,23,15,7,106,83,120,18,7,21,0
Nick Pope,83,0,,,,,,,,,,,,0,"2,372",28.58,,,,,725,4,0,2,,,,,,,,,,,,,,3
Davy Pröpper,100,2,0.02,1,1,0,0,0,80,15,19%,2,6,7,"4,384",43.84,7,67,15%,7,258,8,1,105,3,187,57%,22,151,134,54,673,456,472,112,112,89,2
Ian Poveda-Ocampo,7,0,7,0,0,0,0,0,5,3,60%,0,0,0,54,7.71,2,6,,,,0,0,3,1,3,,2,0,0,0,,,,,,,
Pedro Porro,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Sandro Ramírez,8,0,8,0,0,0,0,0,9,1,11%,0,0,0,82,10.25,0,6,,,,0,0,1,1,2,,3,1,0,0,,,,,,,
Brandon Pierrick,2,0,2,0,0,0,0,0,0,0,0%,0,0,0,7,3.5,0,2,,,,0,0,0,0,0,,0,0,1,1,,,,,,,
Paul Pogba,120,26,0.22,4,20,2,7,0,306,112,37%,11,21,26,"7,464",62.2,21,109,14%,68,568,19,1,206,14,165,67%,83,89,123,81,759,867,807,250,236,170,1
Erik Pieters,197,1,,0,0,1,,,,,,0,,11,"6,922",35.14,17,456,18%,5,309,34,0,306,5,543,73%,11,357,621,312,906,"1,153",900,65,325,231,4
Taylor Perry,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Kalvin Phillips,10,0,10,0,0,0,0,0,6,2,33%,0,0,2,603,60.3,1,34,35%,1,65,4,0,12,0,27,63%,1,19,15,3,85,56,57,6,6,17,0
Ayoze Pérez,183,42,0.23,6,30,6,1,0,284,117,41%,5,22,13,"3,547",19.38,26,199,,,,10,0,187,49,249,,66,141,97,42,,,,,,,
Jordan Pickford,156,0,,,,,,,,,,,,0,"4,837",31.01,,,,,"1,343",3,0,3,,,,,,,,,,,,,,14
Pepe Reina,297,0,,,,,,,,,,,,4,"5,868",19.76,,,,,"1,686",10,2,4,,,,,,,,,,,,,,10
Facundo Pellistri,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Lee Peltier,21,0,,0,0,0,,,,,,0,,0,343,16.33,0,6,50%,0,21,5,0,15,0,39,64%,0,18,54,29,71,78,54,3,30,26,0
Nicolas Pépé,40,6,0.15,0,0,6,1,0,61,22,36%,4,2,6,807,20.18,8,128,,,,4,1,18,4,35,,15,10,4,2,,,,,,,
Matthew Pennington,7,1,,0,1,0,,,,,,0,,0,242,34.57,0,2,2%,0,15,1,0,3,0,3,67%,0,12,28,11,36,14,11,3,8,4,0
Pedro Neto,42,7,0.17,0,2,5,0,0,41,15,37%,0,3,5,739,17.6,9,125,,,,3,0,24,7,17,,13,24,5,2,,,,,,,
Mario Pasalic,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Myles Peart-Harris,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Bailey Peacock-Farrell,1,0,,,,,,,,,,,,0,31,31,,,,,10,0,0,0,,,,,,,,,,,,,,0
Pedro,137,29,0.21,2,13,14,0,0,251,88,35%,4,11,16,"3,953",28.85,17,282,,,,13,0,90,36,147,,61,84,31,8,,,,,,,
Troy Parrott,2,0,2,0,0,0,0,0,0,0,0%,0,0,0,4,2,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
David Parkhouse,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Erik Palmer-Brown,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Thomas Partey,5,0,5,0,0,0,0,0,5,2,40%,0,1,0,192,38.4,0,1,1%,0,13,1,0,4,0,10,60%,0,4,2,1,20,25,13,8,4,1,0
Pablo Hernández,62,5,0.08,0,4,1,0,0,83,21,25%,2,3,15,"2,456",39.61,13,187,17%,25,139,5,0,29,10,57,67%,24,54,26,7,209,162,258,56,6,33,0
Mesut Özil,184,33,0.18,4,4,25,0,1,205,92,45%,7,26,54,"11,186",60.79,65,834,35%,121,276,13,0,95,83,161,68%,58,75,37,13,778,625,744,248,28,83,2
Cole Palmer,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Alex Oxlade-Chamberlain,196,16,0.08,0,14,2,0,0,237,65,27%,8,11,22,"4,570",23.32,27,421,20%,53,250,10,0,104,13,188,74%,87,133,75,25,566,707,704,344,76,131,3
Daniel Oyegoke,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Owen Otasowie,1,0,1,0,0,0,0,0,1,0,1%,0,0,1,16,16,0,0,0%,0,0,0,0,1,0,2,100%,0,3,0,0,3,6,5,0,3,3,0
Ben Osborn,20,0,20,0,0,0,0,0,5,2,40%,0,0,0,392,19.6,2,37,22%,2,12,0,0,13,1,25,52%,2,8,11,6,69,50,55,7,9,11,0
Nicolás Otamendi,136,8,,5,3,0,,,,,,2,,1,"9,366",68.87,3,7,14%,8,432,31,0,118,1,269,68%,21,286,649,388,707,766,476,32,388,246,5
Josh Onomah,15,0,15,0,0,0,0,0,4,2,50%,0,0,0,109,7.27,0,5,5%,0,0,0,0,4,1,10,90%,1,1,2,0,8,17,17,3,3,2,0
Divock Origi,93,19,0.2,6,11,2,0,0,89,39,44%,4,8,6,865,9.3,3,68,,,,1,0,47,26,34,,22,7,9,3,,,,,,,
Jerome Opoku,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
James Olayinka,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Robin Olsen,2,0,,,,,,,,,,,,0,48,24,,,,,14,0,0,0,,,,,,,,,,,,,,0
Angelo Ogbonna,148,6,,4,0,1,,,,,,1,,1,"4,983",33.67,3,10,60%,3,362,18,0,101,1,181,67%,10,217,739,399,626,667,406,27,399,237,2
Jubril Okedina,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
