Names,Appearances,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
Gonçalo Cardoso,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Mark Gillespie,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Ben Godfrey,37,0,,0,0,0,,,,,,2,,0,"1,895",51.22,0,6,17%,1,101,4,1,18,1,38,66%,0,35,165,86,188,146,83,11,83,47,0
Morgan Gibbs-White,33,0,33,0,0,0,0,0,10,1,10%,1,2,1,396,12,2,19,32%,5,22,1,0,10,2,6,50%,2,3,0,0,48,42,56,13,16,20,0
Ryan Giles,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Rachid Ghezzal,19,1,0.05,0,0,1,0,0,19,5,26%,1,1,0,422,22.21,3,45,36%,6,19,3,0,13,0,14,36%,10,7,3,2,50,51,66,19,10,7,0
Kieran Gibbs,174,2,,0,0,2,,,,,,1,,9,"6,053",34.79,13,430,19%,11,165,18,2,113,13,336,68%,20,308,499,244,725,761,643,127,239,262,1
Gedson Fernandes,7,0,7,0,0,0,0,0,1,0,1%,0,0,0,39,5.57,0,7,29%,0,0,0,0,0,0,2,2%,1,1,0,0,7,6,9,2,0,1,0
Ben Gibson,39,2,,1,1,0,,,,,,0,,1,"1,715",43.97,1,0,0%,0,149,5,0,21,1,32,72%,4,57,236,119,138,125,105,17,63,71,0
Joe Gelhardt,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Paulo Gazzaniga,43,0,,,,,,,,,,,,0,982,22.84,,,,,221,1,0,1,,,,,,,,,,,,,,7
James Garner,2,0,2,0,0,0,0,0,0,0,0%,0,0,0,15,7.5,0,0,0%,0,1,0,0,0,0,0,0%,0,0,1,0,2,1,1,0,0,0,0
Dwight Gayle,121,26,0.21,3,16,7,2,2,163,61,37%,4,23,6,"1,214",10.03,6,64,,,,8,1,77,35,61,,42,27,41,26,,,,,,,
Eric García,16,0,,0,0,0,,,,,,0,,0,949,59.31,0,1,100%,1,30,1,0,12,0,11,45%,0,21,36,16,51,34,44,6,13,27,0
Jean-Philippe Gbamin,2,0,2,0,0,0,0,0,0,0,0%,0,0,0,70,35,0,0,0%,0,2,0,0,2,0,4,75%,0,1,4,3,8,11,10,2,3,2,0
Ethan Galbraith,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Tony Gallacher,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Conor Gallagher,9,2,0.22,0,2,0,0,0,17,4,24%,1,0,0,336,37.33,0,11,18%,1,19,4,0,16,0,28,46%,5,7,7,5,52,66,74,10,11,13,0
Gabriel Jesus,109,43,0.39,8,22,13,2,0,238,123,52%,7,60,18,"1,971",18.08,17,15,,,,13,0,87,65,61,,41,32,18,13,,,,,,,
Gabriel Magalhães,12,2,,1,0,0,,,,,,0,,0,905,75.42,0,0,0%,0,29,1,1,12,0,16,75%,2,18,35,23,60,61,41,2,27,20,0
Gabriel Martinelli,14,3,0.21,0,3,0,0,0,12,5,42%,0,1,0,116,8.29,0,22,22%,1,2,1,0,9,2,20,75%,2,3,5,4,34,46,92,9,8,37,0
Christian Fuchs,116,2,,0,1,1,,,,,,1,,9,"4,575",39.44,11,336,23%,5,300,19,0,93,2,273,74%,18,264,395,216,657,555,460,32,221,166,1
Darnell Furlong,15,1,,0,1,0,,,,,,1,,2,427,28.47,2,55,18%,0,19,3,0,13,1,17,82%,2,27,27,16,50,98,78,6,57,39,0
Ryan Fredericks,45,1,,0,1,0,,,,,,0,,4,"1,386",30.8,5,91,25%,0,47,14,0,39,2,123,66%,4,42,111,56,173,239,171,24,62,52,1
Luke Freeman,11,0,11,0,0,0,0,0,3,0,3%,0,0,0,133,12.09,0,15,40%,1,2,2,0,6,0,6,67%,2,10,5,3,20,23,35,8,4,6,0
Tyrese Francois,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Ryan Fraser,126,16,0.13,0,13,3,0,1,134,62,46%,1,7,27,"3,527",27.99,41,727,23%,16,95,7,0,42,14,59,63%,38,68,83,34,424,378,365,67,34,98,0
Juan Foyth,16,1,,1,0,0,,,,,,0,,0,642,40.12,2,2,2%,1,23,4,1,18,0,38,53%,0,11,50,28,62,96,59,21,28,20,2
Fred,55,1,0.02,0,1,0,0,0,63,12,19%,3,1,1,"2,927",53.22,6,78,24%,7,200,13,0,81,2,110,51%,16,64,39,9,404,248,300,60,12,36,1
Timothy Fosu-Mensah,49,0,,0,0,0,,,,,,0,,1,"1,316",26.86,2,40,23%,2,59,8,0,36,2,80,69%,5,65,110,49,175,151,135,24,31,46,1
Adam Forshaw,35,0,35,0,0,0,0,0,28,6,21%,0,2,1,"1,355",38.71,3,51,20%,8,99,4,0,33,1,62,69%,9,36,23,10,176,133,169,22,17,41,0
Fraser Forster,107,0,,,,,,,,,,,,0,"2,515",23.5,,,,,773,4,0,0,,,,,,,,,,,,,,7
Pablo Fornals,49,4,0.08,0,3,1,0,0,55,17,31%,3,6,7,"1,189",24.27,5,73,16%,7,47,5,0,26,9,55,56%,13,38,10,4,204,124,218,26,17,63,0
Marlon Fossey,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Shane Flynn,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Wesley Fofana,9,0,,0,0,0,,,,,,1,,0,588,65.33,0,1,1%,0,28,2,0,6,1,17,59%,1,27,41,25,58,58,43,6,28,23,0
Phil Foden,50,8,0.16,1,1,6,0,0,62,26,42%,2,5,4,"1,004",20.08,4,52,19%,8,25,0,0,20,3,29,72%,16,14,5,2,63,123,125,50,18,38,0
Wes Foderingham,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Sam Field,22,1,0.05,0,0,1,0,0,6,1,17%,0,0,0,297,13.5,0,15,20%,0,18,5,0,18,0,24,88%,4,17,11,8,62,54,58,5,14,15,0
Ethan Fitzhugh,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
John Fleck,37,5,0.14,0,1,4,0,0,35,12,34%,1,2,2,"1,221",33,5,173,24%,3,41,8,0,29,1,46,70%,13,28,22,8,205,138,153,50,16,33,0
Nathan Ferguson,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Federico Fernández,179,4,,2,1,0,,,,,,2,,7,"7,566",42.27,5,51,18%,2,553,27,0,139,8,263,73%,13,309,"1,117",657,788,808,591,24,413,302,3
Fernandinho,230,18,0.08,2,14,2,0,0,223,64,29%,3,12,16,"14,983",65.14,24,71,21%,75,663,47,4,328,4,555,70%,52,356,416,268,"1,312","1,353","1,207",186,431,343,0
Felipe Anderson,63,10,0.16,0,7,3,0,0,81,33,41%,3,5,8,"2,567",40.75,14,155,28%,27,127,4,0,44,7,136,60%,25,63,22,8,339,366,387,139,16,45,0
Will Ferry,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Malachi Fagan-Walcott,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Josh Felix-Eppiah,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Lukasz Fabianski,257,0,,,,,,,,,,,,2,"6,587",25.63,,,,,"1,988",5,1,7,,,,,,,,,,,,,,17
Fabinho,67,3,0.04,1,2,0,0,0,31,8,26%,0,1,5,"3,998",59.67,4,19,37%,5,188,13,0,68,0,148,55%,11,74,66,28,364,340,272,22,111,86,0
Fabri,2,0,,,,,,,,,,,,0,47,23.5,,,,,16,0,0,0,,,,,,,,,,,,,,1
Fábio Silva,8,0,8,0,0,0,0,0,10,2,20%,1,0,0,75,9.38,0,1,,,,1,0,4,1,2,,5,1,1,0,,,,,,,
Björn Engels,17,1,,1,0,0,,,,,,0,,0,647,38.06,0,2,50%,0,49,1,0,5,1,11,55%,0,28,85,42,53,71,39,1,55,27,1
Ulrick Eneme Ella,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jonny Evans,306,11,,7,4,0,,,,,,2,,9,"13,804",45.11,5,59,34%,10,"1,026",49,3,247,3,470,71%,22,598,"1,877",798,"1,632","1,468",848,87,673,412,5
Emerson,31,0,,0,0,0,,,,,,1,,1,"1,293",41.71,3,97,19%,2,32,3,0,16,2,44,59%,6,28,34,19,104,123,75,27,25,21,0
Anthony Elanga,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Harvey Elliott,4,0,4,0,0,0,0,0,1,1,100%,0,0,0,22,5.5,0,3,3%,0,1,0,0,0,0,0,0%,0,0,0,0,4,1,1,1,0,0,0
Eberechi Eze,12,1,0.08,0,1,0,0,1,12,3,25%,1,1,2,342,28.5,2,28,36%,0,5,0,0,4,0,13,54%,3,9,2,2,63,65,49,20,3,5,0
John Egan,47,2,,1,1,0,,,,,,0,,0,"1,647",35.04,1,3,3%,0,142,6,2,45,1,52,60%,14,70,217,102,214,236,165,1,161,97,1
Anwar El Ghazi,38,5,0.13,0,5,0,2,0,53,21,40%,2,7,4,499,13.13,4,113,24%,1,15,3,0,21,12,21,57%,11,13,12,6,77,102,157,31,33,58,0
Ovie Ejaria,2,0,2,0,0,0,0,0,0,0,0%,0,0,0,8,4,0,0,0%,0,0,0,0,0,0,1,1%,0,0,0,0,0,1,1,0,0,0,0
Ederson,121,0,,,,,,,,,,,,1,"3,064",25.32,,,,,452,6,1,4,,,,,,,,,,,,,,6
Lewis Dunk,120,6,,3,3,0,,,,,,1,,5,"5,858",48.82,3,10,20%,6,536,23,2,87,2,159,56%,17,181,580,325,775,592,380,18,359,201,2
Kyle Edwards,5,0,5,0,0,0,0,0,2,1,50%,0,0,0,34,6.8,0,1,,,,0,0,1,0,3,,1,1,0,0,,,,,,,
Jake Eastwood,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Jimmy Dunne,2,1,,1,0,0,,,,,,0,,0,87,43.5,0,0,0%,0,7,0,0,1,0,0,0%,0,4,10,4,14,10,3,0,8,1,0
Ryan Edmondson,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Paul Dummett,128,2,,0,0,2,,,,,,1,,0,"3,814",29.8,4,202,19%,1,229,12,1,58,1,216,75%,10,177,606,348,387,590,345,21,305,199,2
Tommy Doyle,1,0,1,0,0,0,0,0,1,1,100%,0,0,0,20,20,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,1,1,1,0,0,0,0
Shane Duffy,96,6,,3,2,1,,,,,,3,,2,"3,367",35.07,2,6,67%,0,290,14,1,69,11,85,56%,8,114,664,462,368,594,288,14,459,193,1
Danny Drinkwater,104,4,0.04,0,4,0,0,0,95,17,18%,0,5,8,"5,250",50.48,11,103,19%,17,313,11,1,150,1,264,70%,29,149,164,95,835,471,558,72,84,130,2
Anthony Driscoll-Glennon,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Martin Dubravka,88,0,,,,,,,,,,,,0,"2,318",26.34,,,,,653,1,0,0,,,,,,,,,,,,,,9
Douglas Luiz,46,3,0.07,0,2,1,0,0,48,16,33%,0,2,3,"1,629",35.41,4,35,23%,4,123,10,1,66,0,55,49%,18,49,58,23,261,191,203,41,43,46,1
Abdoulaye Doucouré,142,18,0.13,3,12,2,0,0,193,58,30%,2,12,12,"7,350",51.76,16,72,19%,7,223,34,0,155,10,261,57%,61,161,172,70,"1,104",624,704,135,164,179,1
Barry Douglas,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Matt Doherty,81,8,,3,1,4,,,,,,2,,9,"3,167",39.1,12,119,20%,4,109,7,0,65,6,137,58%,16,111,147,104,349,538,412,51,304,215,0
Elijah Dixon-Bonner,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Kieran Dowell,2,0,2,0,0,0,0,0,0,0,0%,0,0,0,30,15,0,5,5%,0,0,0,0,1,0,0,0%,0,0,0,0,4,2,12,2,0,1,0
Moussa Djenepo,27,3,0.11,0,2,1,0,0,28,10,36%,1,3,2,427,15.81,3,24,17%,1,6,6,1,41,4,44,70%,6,13,9,3,71,155,147,60,10,28,0
Alpha Richard Dionkou,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Issa Diop,69,4,,3,1,0,,,,,,0,,1,"2,277",33,3,1,1%,0,107,13,0,51,4,99,57%,2,114,328,159,334,295,182,11,157,93,2
Eric Dier,186,10,0.05,4,5,1,0,0,120,29,24%,3,8,8,"10,221",54.95,11,121,18%,16,692,33,0,168,6,289,72%,33,263,583,350,769,850,732,53,441,328,6
Diogo Dalot,20,0,,0,0,0,,,,,,0,,2,474,23.7,5,53,26%,0,10,3,0,13,2,27,52%,5,12,31,13,58,65,37,11,25,6,0
Diogo Jota,76,21,0.28,2,11,8,0,0,147,61,41%,4,22,6,"1,781",23.43,15,81,,,,15,0,95,9,59,,38,22,21,14,,,,,,,
Lucas Digne,78,4,,0,0,4,,,,,,6,,15,"3,262",41.82,26,611,28%,2,140,11,2,93,5,159,64%,30,109,211,104,401,485,346,40,224,105,0
Grady Diangana,28,1,0.04,0,0,1,0,0,20,6,30%,0,0,1,468,16.71,3,26,23%,1,7,0,0,11,4,45,49%,6,11,8,4,75,139,150,40,23,38,0
Ibrahima Diallo,6,0,6,0,0,0,0,0,0,0,0%,0,0,0,33,5.5,0,2,2%,0,1,1,0,4,0,2,2%,0,1,1,0,4,4,5,2,0,0,0
Fousseni Diabaté,15,0,15,0,0,0,0,0,6,2,33%,0,1,1,241,16.07,0,12,,,,1,0,1,2,11,,0,8,7,5,,,,,,,
Alfie Devine,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Fabian Delph,190,7,0.04,0,1,6,0,0,145,36,25%,5,3,8,"9,039",47.57,7,201,26%,13,515,29,3,142,1,398,70%,36,286,220,55,"1,027",999,712,263,130,165,5
Liam Delap,1,0,1,0,0,0,0,0,1,0,1%,1,0,0,6,6,0,0,,,,0,0,1,0,0,,0,0,0,0,,,,,,,
Lars Dendoncker,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Kiernan Dewsbury-Hall,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
David de Gea,323,0,,,,,,,,,,,,0,"7,172",22.2,,,,,"1,966",6,0,1,,,,,,,,,,,,,,13
Bobby De Cordova-Reid,39,9,0.23,1,7,1,1,0,40,16,40%,0,2,2,554,14.21,1,17,,,,3,0,16,11,32,,10,12,20,10,,,,,,,
Kevin De Bruyne,166,38,0.23,0,29,9,4,3,403,140,35%,23,16,72,"8,879",53.49,107,"1,176",26%,136,457,14,0,131,17,227,67%,110,91,63,34,800,676,812,235,65,105,1
Craig Dawson,182,14,,11,2,1,,,,,,5,,2,"5,444",29.91,6,300,21%,5,405,32,0,184,11,264,73%,35,333,843,495,745,"1,038",728,40,615,361,0
David Luiz,200,13,,6,6,1,,,,,,5,,7,"10,464",52.32,22,70,27%,82,"1,005",40,3,218,6,246,73%,60,349,850,455,"1,057",864,691,82,351,262,4
Keinan Davis,19,0,19,0,0,0,0,0,17,5,29%,0,3,0,149,7.84,0,3,,,,0,0,12,3,1,,2,0,4,3,,,,,,,
Luca de la Torre,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Laurens De Bock,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Tom Davies,111,5,0.05,1,2,2,0,0,60,15,25%,2,4,4,"2,994",26.97,6,45,22%,9,137,22,0,117,9,137,61%,25,110,63,33,430,425,498,77,72,121,0
Karl Darlow,31,0,,,,,,,,,,,,0,820,26.45,,,,,251,0,0,0,,,,,,,,,,,,,,1
Daniel Podence,21,4,0.19,1,2,1,0,0,32,14,44%,0,0,2,416,19.81,4,22,18%,3,23,1,0,13,5,10,70%,10,10,2,0,57,69,65,32,5,15,0
Kevin Danso,6,0,,0,0,0,,,,,,0,,1,131,21.83,0,4,4%,0,4,0,1,4,0,6,67%,0,2,7,3,13,18,24,3,7,12,0
Scott Dann,233,16,,10,4,2,,,,,,6,,11,"6,692",28.72,11,24,29%,4,679,35,0,147,10,295,60%,31,346,"1,562",671,807,"1,044",720,50,629,457,6
Stuart Dallas,13,2,0.15,1,1,0,0,0,16,8,50%,0,2,0,718,55.23,2,25,16%,2,31,3,0,9,0,37,59%,4,20,14,7,95,67,62,8,9,16,0
Vontae Daley-Campbell,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Luke Cundle,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jamie Cumming,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Charlie Cresswell,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Conor Coventry,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jack Cork,264,8,0.03,3,3,2,0,0,137,42,31%,2,6,9,"11,059",41.89,11,151,17%,34,591,32,0,211,13,466,71%,43,400,477,207,"1,565","1,312","1,335",184,393,479,1
Josh Cullen,3,0,3,0,0,0,0,0,0,0,0%,0,0,0,4,1.33,0,0,0%,0,0,0,0,0,0,0,0%,0,2,1,0,1,0,1,0,0,0,0
Ismaila Coulibaly,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Vladimir Coufal,10,0,,0,0,0,,,,,,0,,2,336,33.6,2,46,33%,0,14,2,0,11,0,28,50%,1,13,20,10,39,53,43,3,14,9,0
Ben Cottrell,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Liam Cooper,12,0,,0,0,0,,,,,,0,,0,737,61.42,0,0,0%,0,48,3,0,10,1,29,72%,0,27,53,18,68,92,52,3,46,33,0
Alex Cochrane,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Clyne,192,4,,0,3,1,,,,,,2,,11,"8,005",41.69,15,477,19%,15,256,18,0,101,2,479,69%,31,288,418,106,862,777,601,128,66,155,3
Conor Coady,89,0,,0,0,0,,,,,,0,,0,"4,103",46.1,2,0,0%,7,612,12,0,38,0,81,63%,0,67,293,155,541,194,136,11,85,54,3
Séamus Coleman,280,20,,7,8,6,,,,,,6,,22,"9,059",32.35,37,746,20%,12,347,29,2,195,29,490,78%,48,298,549,288,"1,285","1,331","1,168",370,197,223,3
Thomas Clayton,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Aaron Connolly,33,4,0.12,0,4,0,0,0,47,17,36%,0,7,2,198,6,1,11,,,,0,0,20,21,11,,15,0,3,2,,,,,,,
Jake Clarke-Salter,1,0,,0,0,0,,,,,,0,,0,6,6,0,0,0%,0,0,0,0,0,0,2,2%,0,0,0,0,0,2,1,0,0,1,0
Leighton Clarkson,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Matthew Clarke,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Ciaran Clark,183,15,,12,0,3,,,,,,3,,5,"5,819",31.8,10,41,20%,2,379,47,2,173,2,308,74%,18,309,"1,277",593,705,893,616,50,436,313,4
Cyrus Christie,28,0,,0,0,0,,,,,,0,,1,884,31.57,1,90,18%,0,21,7,0,29,2,41,54%,3,29,80,49,94,137,136,27,56,32,0
Andreas Christensen,61,0,,0,0,0,,,,,,2,,0,"3,397",55.69,2,0,0%,3,135,7,1,36,1,77,52%,4,78,201,109,308,262,145,10,152,98,1
Ben Chilwell,109,6,,0,2,4,,,,,,1,,12,"5,221",47.9,13,395,19%,8,172,11,1,89,9,174,62%,12,127,282,158,580,694,578,117,278,202,1
Dennis Cirkin,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
