Names,Appearances,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
Tahith Chong,5,0,5,0,0,0,0,0,3,1,33%,0,1,0,29,5.8,0,0,,,,0,0,2,0,0,,1,0,1,0,,,,,,,
Hamza Choudhury,39,1,0.03,0,1,0,0,0,13,4,31%,0,1,2,920,23.59,2,8,13%,1,41,3,1,24,0,51,47%,6,47,28,10,107,88,96,5,18,17,0
Calum Chambers,139,6,,1,4,1,,,,,,1,,3,"5,935",42.7,9,210,18%,4,304,28,1,137,2,257,70%,22,247,537,301,735,703,619,93,301,240,1
James Chester,60,3,,2,0,1,,,,,,0,,0,"1,789",29.82,0,21,10%,2,99,10,1,50,0,130,70%,2,124,256,154,273,288,213,20,112,94,0
Matthew Cash,10,0,,0,0,0,,,,,,0,,1,361,36.1,0,30,13%,0,23,5,0,13,0,26,65%,2,29,32,16,47,54,46,3,16,17,0
Lewis Cass,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Timothy Castagne,6,1,,1,0,0,,,,,,0,,2,304,50.67,1,12,17%,0,5,1,0,4,0,8,25%,0,6,16,7,33,29,22,5,15,11,0
Edinson Cavani,6,3,0.5,2,1,0,0,0,9,3,33%,0,0,1,43,7.17,1,3,,,,1,0,3,2,2,,4,3,3,2,,,,,,,
Dani Ceballos,36,0,36,0,0,0,0,0,19,3,16%,0,0,3,"1,843",51.19,3,82,17%,11,103,3,0,29,0,63,52%,7,49,18,12,230,165,167,42,12,31,0
Cédric Soares,126,2,,0,1,1,,,,,,0,,11,"4,504",35.75,16,532,25%,4,282,18,0,81,8,283,71%,17,154,320,137,588,513,461,50,123,201,4
Andy Carroll,237,53,0.22,24,6,23,2,1,536,172,32%,12,49,22,"4,745",20.02,28,114,,,,33,2,322,79,103,,109,74,327,199,,,,,,,
Scott Carson,145,0,,,,,,,,,,,,2,"2,722",18.77,,,,,832,6,1,4,,,,,,,,,,,,,,10
Fabio Carvalho,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Cameron Carter-Vickers,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Oliver Casey,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Elia Caprile,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Carlos Vinicius,1,0,1,0,0,0,0,0,2,1,50%,0,0,0,1,1,0,0,,,,0,0,1,0,0,,0,0,0,0,,,,,,,
Guido Carrillo,7,0,7,0,0,0,0,0,11,4,36%,0,0,1,123,17.57,0,0,,,,0,0,7,1,5,,4,0,5,5,,,,,,,
Chem Campbell,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Tom Cairney,51,3,0.06,0,0,3,0,0,42,11,26%,2,0,2,"2,375",46.57,5,87,25%,10,138,3,0,23,1,65,58%,13,32,23,5,252,229,162,70,23,25,0
Leonardo Campana,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Gary Cahill,378,27,,9,13,4,,,,,,5,,10,"12,894",34.11,8,23,17%,6,860,38,3,267,3,473,75%,64,452,"2,866","1,168","1,450","1,966","1,050",70,"1,174",574,8
Oskar Buur,1,0,,0,0,0,,,,,,0,,0,14,14,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,1,3,0,1,0,0
Dominic Calvert-Lewin,127,35,0.28,14,17,4,0,0,227,95,42%,5,36,9,"1,817",14.31,9,49,,,,18,0,152,44,51,,42,32,92,72,,,,,,,
Jake Cain,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
David Button,4,0,,,,,,,,,,,,0,99,24.75,,,,,27,0,0,0,,,,,,,,,,,,,,0
Willy Caballero,34,0,,,,,,,,,,,,0,822,24.18,,,,,168,0,0,0,,,,,,,,,,,,,,2
Robbie Burton,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jack Butland,77,0,,,,,,,,,,,,0,"2,327",30.22,,,,,757,0,0,1,,,,,,,,,,,,,,1
Joe Bryan,35,0,,0,0,0,,,,,,1,,1,"1,100",31.43,8,138,20%,1,55,6,0,29,2,68,68%,7,40,78,38,143,161,122,25,35,40,1
Dan Burn,50,0,,0,0,0,,,,,,1,,0,"2,038",40.76,2,61,20%,3,66,7,0,46,4,80,64%,5,55,219,138,193,301,220,22,183,81,0
Bruno Jordão,1,0,1,0,0,0,0,0,0,0,0%,0,0,0,6,6,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,2,0,0,0,0,0,0
Zak Brunt,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Oliver Burke,21,0,21,0,0,0,0,0,10,1,10%,0,1,2,206,9.81,3,10,20%,1,5,0,0,10,2,8,63%,5,7,3,1,21,43,77,17,11,22,0
Josh Brownhill,20,0,20,0,0,0,0,0,16,0,16%,0,1,0,749,37.45,0,4,25%,1,22,3,0,20,0,37,59%,7,41,28,11,109,106,82,13,44,36,0
Bruno Fernandes,25,15,0.6,1,14,0,7,1,78,34,44%,4,6,11,"1,410",56.4,11,133,24%,15,88,4,0,23,4,43,58%,17,19,23,15,110,102,144,23,6,21,0
Armando Broja,1,0,1,0,0,0,0,0,0,0,0%,0,0,0,1,1,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
James Bree,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Rhian Brewster,8,0,8,0,0,0,0,0,5,2,40%,0,2,0,52,6.5,1,1,,,,0,0,6,3,1,,1,2,1,0,,,,,,,
Claudio Bravo,29,0,,,,,,,,,,,,0,838,28.9,,,,,133,0,0,0,,,,,,,,,,,,,,1
George Broadbent,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jarrad Branthwaite,4,0,,0,0,0,,,,,,0,,0,223,55.75,0,0,0%,0,13,0,0,4,0,8,88%,0,2,11,7,18,20,21,1,9,15,0
Morgan Boyes,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jarrod Bowen,33,5,0.15,0,0,4,0,0,59,13,22%,2,5,6,559,16.94,7,116,,,,0,0,13,4,31,,26,23,6,2,,,,,,,
Robbie Brady,148,10,0.07,0,3,7,2,1,158,43,27%,7,1,12,"3,396",22.95,24,739,26%,13,204,16,1,121,14,251,73%,55,140,221,102,604,620,603,133,143,120,2
Jonathan Bond,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Willy Boly,70,4,,3,0,0,,,,,,0,,1,"3,257",46.53,5,2,2%,2,150,4,2,61,4,161,58%,7,132,323,197,375,472,239,25,261,107,0
Mateusz Bogusz,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Tolaji Bola,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jayden Bogle,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Sofiane Boufal,70,3,0.04,0,1,2,0,0,73,20,27%,0,2,4,"1,328",18.97,9,101,16%,9,36,8,0,77,5,91,63%,28,15,9,3,212,371,410,187,23,37,0
Jamie Bowden,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Yves Bissouma,62,2,0.03,0,2,0,0,0,65,12,18%,1,2,0,"1,891",30.5,1,17,18%,6,94,13,1,90,2,151,62%,17,65,67,28,317,363,314,98,61,58,1
Yannick Bolasie,119,11,0.09,1,8,2,0,0,219,72,33%,8,8,17,"2,124",17.85,25,595,,,,9,1,140,46,151,,55,48,107,58,,,,,,,
Marcus Bettinelli,7,0,,,,,,,,,,,,0,211,30.14,,,,,66,1,0,0,,,,,,,,,,,,,,0
Muhamed Besic,46,0,46,0,0,0,0,0,26,7,27%,1,0,0,"1,339",29.11,2,18,22%,3,116,11,0,42,0,93,76%,7,34,56,26,154,186,165,53,21,16,1
Ryan Bertrand,241,7,,1,2,4,,,,,,3,,15,"9,238",38.33,29,845,21%,9,322,32,2,224,11,356,68%,34,340,403,191,929,"1,035",933,105,338,335,0
Bernardo,37,0,,0,0,0,,,,,,0,,1,"1,128",30.49,3,48,19%,0,35,5,0,20,6,90,67%,5,40,87,50,169,213,111,22,75,38,0
Bernardo Rosa,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Bernardo Silva,111,19,0.17,2,1,16,0,0,142,52,37%,3,17,18,"4,268",38.45,21,198,19%,13,139,8,0,67,4,122,64%,50,63,48,15,385,356,401,124,34,75,0
Adrián Bernabé,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Christian Benteke,234,75,0.32,28,37,10,10,1,563,218,39%,14,84,20,"5,758",24.61,31,36,,,,35,4,370,209,82,,118,27,222,152,,,,,,,
Sander Berge,26,2,0.08,0,2,0,1,0,15,4,27%,0,1,2,767,29.5,3,43,9%,0,28,4,0,30,3,38,58%,4,14,31,18,119,130,104,34,50,30,0
Bernard,65,5,0.08,0,5,0,0,0,37,11,30%,2,5,5,"1,445",22.23,7,92,,,,8,0,40,2,85,,14,47,22,5,,,,,,,
Steven Bergwijn,23,3,0.13,0,3,0,0,0,15,5,33%,1,2,1,412,17.91,1,15,,,,3,0,18,0,18,,4,2,12,1,,,,,,,
Saïd Benrahma,6,0,6,0,0,0,0,0,11,4,36%,0,0,2,77,12.83,0,6,,,,0,0,5,0,4,,2,1,0,0,,,,,,,
Nabil Bentaleb,58,0,58,0,0,0,0,0,49,9,18%,1,1,3,"2,767",47.71,4,17,24%,4,132,13,0,67,0,123,72%,12,112,72,31,296,258,215,42,65,41,3
Jan Bednarek,77,3,,1,1,1,,,,,,0,,3,"3,349",43.49,3,2,2%,3,162,13,0,63,0,121,60%,3,174,438,212,398,399,263,4,251,139,3
Héctor Bellerín,170,7,,0,4,3,,,,,,3,,20,"7,562",44.48,31,411,17%,32,152,27,0,136,9,225,77%,34,221,324,155,768,643,749,202,173,224,1
Filip Benkovic,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Ryan Bennett,111,3,,2,0,1,,,,,,1,,0,"3,409",30.71,2,12,17%,1,255,31,0,85,2,130,63%,3,145,643,304,322,495,353,5,340,221,2
Nathan Baxter,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Lewis Bate,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Josh Benson,2,0,2,0,0,0,0,0,2,0,2%,0,0,0,35,17.5,0,1,1%,0,1,0,0,0,0,2,2%,1,3,1,0,8,5,7,2,0,3,0
Gaetano Berardi,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Michy Batshuayi,67,13,0.19,1,8,4,0,0,79,28,35%,1,11,4,486,7.25,1,5,,,,0,0,30,33,14,,24,10,9,7,,,,,,,
Chris Basham,71,1,,0,1,0,,,,,,0,,3,"1,975",27.82,3,79,16%,0,104,5,0,48,7,154,60%,1,112,243,130,293,380,231,35,147,94,1
Ross Barkley,208,27,0.13,2,17,8,2,2,428,124,29%,10,26,28,"7,876",37.87,34,343,24%,59,477,18,0,160,20,174,72%,152,79,110,87,779,996,"1,080",387,176,175,2
Daniel Barlaser,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Beni Baningime,8,0,8,0,0,0,0,0,0,0,0%,0,0,0,82,10.25,0,0,0%,0,3,1,0,4,0,6,33%,0,2,1,0,9,9,14,1,1,2,0
Patrick Bamford,40,10,0.25,3,2,5,0,0,66,30,45%,2,11,1,346,8.65,0,9,,,,2,0,33,14,21,,12,7,18,11,,,,,,,
Kyle Bartley,29,1,,0,1,0,,,,,,0,,0,994,34.28,0,3,3%,0,53,7,0,32,3,35,66%,2,32,154,89,92,121,71,5,67,31,1
Folarin Balogun,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Tudor Baluta,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Danny Ballard,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Gareth Barry,653,53,0.08,5,3,26,14,0,320,112,35%,6,8,64,"20,616",31.57,18,906,28%,106,"1,668",123,6,633,45,"1,028",77%,82,629,876,328,"2,398","2,107","1,983",205,447,353,3
Phil Bardsley,302,7,,0,6,1,,,,,,2,,5,"9,335",30.91,17,669,20%,19,589,79,2,333,5,731,78%,56,428,"1,085",384,"1,165","1,406","1,003",106,306,286,3
Ashley Barnes,163,38,0.23,5,29,4,5,0,288,107,37%,6,29,6,"2,582",15.84,11,67,,,,33,2,285,98,107,,56,35,117,73,,,,,,,
Jack Bearne,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
George Baldock,50,2,,0,2,0,,,,,,0,,4,"1,472",29.44,6,163,26%,0,30,8,0,64,12,81,72%,9,42,96,50,222,231,230,53,48,69,1
Gareth Bale,149,43,0.29,5,5,32,0,3,441,163,37%,16,22,20,"4,696",31.52,33,"1,026",,,,15,1,88,30,220,,114,242,297,78,,,,,,,
Fabián Balbuena,50,3,,1,2,0,,,,,,2,,0,"1,686",33.72,1,5,5%,3,121,5,0,35,0,72,56%,6,99,294,158,223,220,193,4,138,111,2
Lewis Baker,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Tiemoué Bakayoko,29,2,0.07,1,0,1,0,0,40,9,23%,1,3,2,"1,108",38.21,1,5,20%,0,44,3,1,50,2,64,64%,17,37,36,22,169,164,155,36,40,36,2
Leighton Baines,420,32,,0,1,31,,,,,,8,,53,"14,679",34.95,63,"2,331",26%,20,786,46,0,279,40,767,75%,92,533,"1,024",294,"1,352","1,642","1,258",232,193,237,2
Finn Azaz,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Miguel Azeez,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
César Azpilicueta,276,8,,2,6,0,,,,,,1,,32,"15,946",57.78,32,583,22%,25,642,24,1,248,10,727,72%,30,475,797,421,"1,392","1,414",994,70,483,381,0
Eric Bailly,56,1,,0,1,0,,,,,,1,,0,"1,720",30.71,0,2,2%,1,101,7,1,47,0,92,67%,3,104,230,90,286,232,125,24,77,42,1
Pierre-Emerick Aubameyang,98,57,0.58,3,46,8,8,1,243,113,47%,8,40,13,"2,129",21.72,18,171,,,,5,1,35,64,64,,59,26,45,14,,,,,,,
Serge Aurier,65,4,,1,2,1,,,,,,0,,10,"2,596",39.94,13,243,15%,1,72,4,2,91,9,191,65%,11,94,174,107,323,448,364,68,143,117,1
Luke Ayling,13,0,,0,0,0,,,,,,0,,0,847,65.15,3,34,21%,2,67,2,0,6,1,37,46%,3,10,23,10,88,94,51,15,23,17,0
Christian Atsu,80,3,0.04,0,0,3,0,0,72,28,39%,0,4,6,"1,096",13.7,12,117,19%,8,24,5,0,34,14,52,77%,17,26,41,17,245,217,380,73,32,142,0
Taiwo Awoniyi,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Jordan Ayew,147,26,0.18,4,18,4,2,0,230,80,35%,8,13,9,"3,113",21.18,12,151,,,,18,2,231,45,230,,74,81,58,36,,,,,,,
Brandon Austin,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Luca Ashby-Hammond,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Kepa Arrizabalaga,72,0,,,,,,,,,,,,0,"2,029",28.18,,,,,338,2,0,0,,,,,,,,,,,,,,3
Stuart Armstrong,70,10,0.14,0,6,4,0,0,94,35,37%,0,4,7,"1,607",22.96,3,59,20%,4,40,6,0,61,8,84,65%,26,33,40,15,238,224,311,61,34,59,0
Cameron Archer,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,
Harrison Ashby,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Harry Arter,94,3,0.03,0,2,1,0,0,124,24,19%,5,2,5,"4,282",45.55,4,50,28%,16,326,32,1,91,2,221,73%,39,103,65,16,508,390,368,54,25,29,3
Alphonse Areola,12,0,,,,,,,,,,,,0,254,21.17,,,,,53,0,0,0,,,,,,,,,,,,,,0
Michail Antonio,140,39,0.28,19,16,5,1,0,316,123,39%,13,35,14,"2,764",19.74,21,323,21%,17,119,15,1,160,66,122,71%,73,126,124,58,489,967,"1,114",310,330,432,2
Angeliño,6,0,,0,0,0,,,,,,1,,0,338,56.33,3,43,21%,0,7,1,0,2,0,5,40%,2,9,15,7,29,17,15,4,6,7,0
Andreas Pereira,45,2,0.04,0,1,1,0,0,45,16,36%,0,1,4,"1,111",24.69,8,88,19%,3,42,10,0,42,4,34,62%,14,20,12,4,140,101,213,32,13,49,1
Faustino Anjorin,1,0,1,0,0,0,0,0,1,0,1%,0,0,0,7,7,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,1,2,2,1,0,0,0
Elliot Anderson,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Joseph Anang,0,0,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0
Ethan Ampadu,7,0,,0,0,0,,,,,,0,,0,202,28.86,1,0,0%,0,6,0,0,4,1,15,47%,0,10,20,11,22,34,19,4,10,11,0
André Gomes,55,1,0.02,0,1,0,0,0,29,5,17%,0,1,2,"2,344",42.62,2,36,19%,4,199,15,0,103,2,72,60%,6,28,27,18,336,252,379,74,61,46,0
Nathan Aké,151,13,,7,1,5,,,,,,4,,6,"5,921",39.21,9,61,20%,3,264,18,1,100,7,256,63%,20,210,761,415,640,673,454,29,324,279,0
Albian Ajeti,9,0,9,0,0,0,0,0,3,0,3%,0,0,0,15,1.67,0,0,,,,0,0,6,2,1,,2,0,0,0,,,,,,,
Luke Amos,1,0,1,0,0,0,0,0,0,0,0%,0,0,0,3,3,0,0,0%,0,0,0,0,0,0,1,1%,0,0,0,0,0,2,1,0,1,1,0
Daniel Amartey,48,1,,1,0,0,,,,,,0,,1,"1,541",32.1,0,6,17%,0,73,6,1,42,1,70,61%,3,53,83,48,256,162,161,10,65,54,0
Florin Andone,26,4,0.15,2,2,0,0,0,20,9,45%,0,3,0,177,6.81,0,5,,,,5,1,30,4,11,,6,3,13,6,,,,,,,
Semi Ajayi,12,0,,0,0,0,,,,,,0,,0,471,39.25,0,2,2%,0,23,2,0,11,0,16,44%,1,14,35,17,75,42,38,6,18,12,0
Rayan Aït-Nouri,4,1,,0,0,1,,,,,,0,,0,133,33.25,0,12,25%,0,1,0,0,5,0,4,25%,2,2,6,4,20,13,17,5,1,3,0
Joachim Andersen,7,0,,0,0,0,,,,,,0,,0,288,41.14,0,0,0%,0,17,1,0,9,0,5,80%,0,7,42,19,35,32,21,2,21,6,0
Ola Aina,13,1,,0,0,1,,,,,,0,,0,506,38.92,0,26,15%,0,26,0,0,9,1,14,64%,1,18,31,16,45,34,32,5,6,11,0
Adrien Silva,14,0,14,0,0,0,0,0,11,2,18%,0,0,1,512,36.57,1,4,4%,3,26,3,0,9,0,24,63%,5,15,1,1,63,52,75,7,11,21,0
Sergio Agüero,266,180,0.68,18,127,34,26,0,999,411,41%,34,126,46,"6,172",23.2,61,176,,,,23,1,167,194,150,,230,73,14,3,,,,,,,
Adrián,138,0,,,,,,,,,,,,0,"3,450",25,,,,,"1,092",10,2,5,,,,,,,,,,,,,,10
Ahmed El Mohamady,186,6,,4,2,0,,,,,,4,,13,"6,659",35.8,19,918,21%,7,304,12,1,153,13,268,76%,19,246,342,162,913,962,869,128,445,410,1
Dennis Adeniran,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Ahmed Hegazi,39,2,,2,0,0,,,,,,0,,0,"1,242",31.85,0,10,30%,1,139,4,0,24,2,58,66%,0,61,277,158,191,197,147,22,108,86,1
Tosin Adarabioyo,9,0,,0,0,0,,,,,,0,,0,384,42.67,0,0,0%,0,31,1,0,4,1,10,80%,1,11,55,27,38,34,15,2,19,8,0
